[87, 20][107, 0]
[110, 0][86, 24]
[84, 29][113, 0]
[116, 0][83, 33]
[81, 38][119, 0]
[122, 0][81, 41]
[81, 44][125, 0]
[128, 0][81, 47]
[81, 50][131, 0]
[134, 0][81, 53]
[81, 56][137, 0]
[140, 0][81, 59]
[81, 62][143, 0]
[146, 0][81, 65]
[81, 68][149, 0]
[152, 0][81, 71]
[82, 73][155, 0]
[158, 0][83, 75]
[83, 78][161, 0]
[164, 0][83, 81]
[83, 84][167, 0]
[170, 0][83, 87]
[83, 90][173, 0]
[176, 0][83, 93]
[82, 97][179, 0]
[182, 0][82, 100]
[82, 103][185, 0]
[188, 0][83, 105]
[83, 108][191, 0]
[194, 0][84, 110]
[86, 111][197, 0]
[200, 0][87, 113]
[88, 115][203, 0]
[201, 5][90, 116]
[90, 116][201, 5]
[204, 5][93, 116]
[94, 118][207, 5]
[208, 7][96, 119]
[98, 120][211, 7]
[214, 7][100, 121]
[101, 123][106, 118]
[113, 111][113, 111]
[115, 109][215, 9]
[216, 11][121, 106]
[105, 125][106, 124]
[127, 103][217, 13]
[218, 15][131, 102]
[134, 102][221, 15]
[223, 16][137, 102]
[139, 103][225, 17]
[226, 19][141, 104]
[141, 107][227, 21]
[228, 23][139, 112]
[139, 115][228, 26]
[228, 29][140, 117]
[141, 119][228, 32]
[229, 34][142, 121]
[143, 123][230, 36]
[234, 35][145, 124]
[147, 125][234, 38]
[234, 41][174, 101]
[172, 103][150, 125]
[157, 121][172, 106]
[177, 101][229, 49]
[222, 59][181, 100]
[172, 109][160, 121]
[163, 121][175, 109]
[184, 100][218, 66]
[215, 72][188, 99]
[175, 112][169, 118]
[172, 118][176, 114]
[193, 97][213, 77]
[212, 81][198, 95]
[175, 121][181, 115]
[203, 93][212, 84]
[182, 117][176, 123]
[178, 124][182, 120]
