[188, 70]
[189, 70]
[190, 70]
[191, 70]
[192, 70]
[193, 70]
[194, 71]
[195, 72]
[196, 72]
[197, 73]
[198, 74]
[199, 75]
[200, 76]
[201, 77]
[201, 78]
[201, 79]
[202, 79]
[203, 80]
[204, 80]
[205, 80]
[206, 79]
[207, 78]
[208, 79]
[209, 79]
[210, 80]
[210, 81]
[211, 82]
[212, 83]
[212, 84]
[213, 85]
[213, 86]
[213, 85]
[212, 84]
[212, 83]
[212, 82]
[211, 81]
[210, 80]
[209, 79]
[208, 79]
[207, 78]
[207, 77]
[207, 76]
[207, 75]
[207, 74]
[207, 75]
[207, 76]
[207, 77]
[207, 78]
[206, 79]
[205, 79]
[204, 80]
[203, 80]
[202, 79]
[201, 78]
[201, 77]
[200, 76]
[199, 75]
[198, 74]
[197, 73]
[196, 72]
[195, 71]
[194, 70]
[193, 70]
[192, 70]
[191, 70]
[190, 70]
