[275, 185][289, 171]
[293, 172][276, 189]
[281, 189][297, 173]
[308, 162][311, 159]
[317, 153][322, 148]
[329, 141][329, 141]
[335, 140][307, 168]
[300, 175][291, 184]
[309, 171][340, 140]
[344, 141][315, 170]
[320, 170][348, 142]
[353, 142][326, 169]
[331, 169][358, 142]
[363, 142][336, 169]
[341, 169][367, 143]
[371, 144][347, 168]
[351, 169][376, 144]
[382, 143][356, 169]
[361, 169][387, 143]
[394, 141][366, 169]
[371, 169][399, 141]
[399, 146][376, 169]
[381, 169][399, 151]
[399, 156][386, 169]
[391, 169][399, 161]
[399, 166][396, 169]
