[127, 337]
[126, 338]
[125, 338]
[124, 338]
[123, 338]
[122, 339]
[121, 339]
[120, 339]
[119, 339]
[118, 340]
[117, 340]
[116, 340]
[115, 340]
[114, 341]
[113, 341]
[112, 341]
[111, 341]
[110, 342]
[109, 342]
[108, 342]
[107, 342]
[106, 342]
[105, 343]
[104, 343]
[103, 343]
[102, 344]
[101, 344]
[100, 344]
[99, 344]
[98, 345]
[97, 345]
[96, 345]
[95, 345]
[94, 346]
[93, 346]
[92, 346]
[91, 346]
[90, 347]
[89, 347]
[88, 347]
[87, 347]
[86, 348]
[85, 348]
[84, 349]
[83, 349]
[82, 349]
[81, 349]
[80, 349]
[79, 349]
[78, 349]
[77, 349]
[76, 349]
[75, 350]
[74, 350]
[73, 350]
[72, 350]
[71, 350]
[70, 351]
[69, 351]
[68, 351]
[67, 352]
[66, 352]
[65, 353]
[64, 353]
[63, 353]
[62, 353]
[61, 353]
[60, 353]
[59, 354]
[58, 354]
[57, 355]
[56, 355]
[55, 355]
[54, 356]
[53, 356]
[52, 357]
[51, 357]
[50, 357]
[49, 358]
[48, 358]
[47, 359]
[46, 359]
[45, 359]
[44, 359]
[43, 360]
[42, 360]
[41, 361]
[40, 361]
[39, 361]
[38, 362]
[37, 362]
[36, 362]
[35, 363]
[34, 363]
[33, 364]
[32, 365]
[31, 365]
[30, 365]
[29, 366]
[28, 366]
[27, 367]
[26, 368]
[25, 369]
[24, 369]
[23, 369]
[22, 369]
[21, 369]
[20, 370]
[19, 371]
[18, 371]
[17, 371]
[16, 371]
[15, 371]
[14, 371]
[13, 372]
[12, 372]
[11, 372]
[10, 373]
[9, 373]
[8, 374]
[7, 374]
[6, 375]
[5, 375]
[4, 376]
[3, 377]
[2, 377]
[1, 377]
[2, 377]
[3, 378]
[2, 379]
[2, 380]
[1, 381]
[2, 380]
[2, 379]
[3, 378]
[3, 377]
[4, 376]
[5, 376]
[6, 375]
[7, 374]
[8, 374]
[9, 374]
[10, 373]
[11, 372]
[12, 372]
[13, 372]
[14, 371]
[15, 371]
[16, 371]
[17, 371]
[18, 371]
[19, 372]
[18, 373]
[18, 374]
[17, 375]
[16, 376]
[15, 376]
[14, 377]
[15, 376]
[16, 376]
[17, 375]
[18, 375]
[18, 374]
[19, 373]
[20, 373]
[21, 374]
[22, 374]
[23, 374]
[24, 374]
[25, 374]
[25, 373]
[25, 372]
[26, 371]
[26, 370]
[25, 369]
[26, 368]
[27, 367]
[28, 367]
[29, 366]
[30, 366]
[31, 365]
[32, 365]
[33, 364]
[34, 364]
[35, 363]
[36, 363]
[37, 362]
[38, 362]
[39, 361]
[40, 361]
[41, 361]
[42, 360]
[43, 360]
[44, 360]
[45, 359]
[46, 359]
[47, 359]
[48, 358]
[49, 358]
[50, 358]
[51, 357]
[52, 357]
[53, 356]
[54, 356]
[55, 355]
[56, 355]
[57, 355]
[58, 354]
[59, 354]
[60, 353]
[61, 353]
[62, 353]
[63, 353]
[64, 354]
[64, 355]
[64, 356]
[64, 357]
[64, 356]
[64, 355]
[64, 354]
[65, 353]
[66, 352]
[67, 352]
[68, 352]
[69, 351]
[70, 351]
[71, 351]
[72, 350]
[73, 350]
[74, 350]
[75, 350]
[76, 349]
[77, 349]
[78, 349]
[79, 349]
[80, 349]
[81, 349]
[82, 349]
[83, 349]
[84, 349]
[85, 348]
[86, 348]
[87, 347]
[88, 347]
[89, 347]
[90, 347]
[91, 346]
[92, 346]
[93, 346]
[94, 346]
[95, 345]
[96, 345]
[97, 345]
[98, 345]
[99, 345]
[100, 344]
[101, 344]
[102, 344]
[103, 343]
[104, 343]
[105, 343]
[106, 342]
[107, 342]
[108, 342]
[109, 342]
[110, 342]
[111, 341]
[112, 341]
[113, 341]
[114, 341]
[115, 340]
